Sensor Noise Accelerometer,Sensor Noise Gyroscope,Sensor Noise Magnetometer,Sensor Noise Pressure,Rotor Orientation,Gravity_x,Gravity_y,Gravity_z,Magnetic Field_x,Magnetic Field_y,Magnetic Field_z,Wind_x,Wind_y,Wind_z,Wind Deviation_x,Wind Deviation_y,Wind Deviation_z,Error Type
0.64,1.024,0.0512,0.16,x,0.0,0.0,9.80665,0.21523,0.0,0.2,10.0,10.0,0.0,0.0,0.0,10.0,Arming hangs
0.01,0.128,0.0128,0.64,x,0.0,0.0,9.80665,0.21523,0.0,0.65,20.0,10.0,0.0,1.0,0.0,1.0,Gyro fail
0.64,0.128,0.0001,0.64,x,0.0,0.0,9.80665,0.21523,0.0,0.2,0.0,10.0,10.0,1.0,1.0,1.0,Landing
0.01,0.512,0.0128,1.28,+,0.0,0.0,9.80665,0.4,0.2,0.2,10.0,10.0,10.0,1.0,10.0,1.0,Arming
1.28,0.001,0.1024,0.01,+,0.0,0.0,9.80665,0.65,0.2,0.2,1.0,10.0,10.0,1.0,10.0,0.0,Dangerous battery level
0.01,1.024,0.1024,0.01,+,0.0,0.0,9.80665,0.0,0.2,0.42741,0.0,1.0,10.0,10.0,0.0,10.0,Arming hangs
0.01,0.016,0.1024,0.64,x,0.0,0.0,9.80665,0.0,0.0,0.2,10.0,0.0,20.0,0.0,0.0,10.0,Arming hangs
0.16,1.024,0.0128,0.16,+,0.0,0.0,9.80665,0.4,0.2,0.42741,0.0,1.0,20.0,1.0,10.0,0.0,Arming
1.28,1.024,0.0512,0.01,+,0.0,0.0,9.80665,0.65,0.2,0.0,1.0,1.0,20.0,0.0,0.0,1.0,Arming
1.28,0.001,0.0016,0.01,+,0.0,0.0,9.80665,0.65,0.0,0.65,20.0,20.0,10.0,1.0,0.0,0.0,Gyro fail
0.16,0.001,0.1024,0.01,x,0.0,0.0,9.80665,0.65,0.0,0.42741,1.0,20.0,10.0,0.0,0.0,1.0,Gyro fail
0.16,0.128,0.0512,0.64,x,0.0,0.0,9.80665,0.4,0.0,0.0,0.0,20.0,10.0,10.0,0.0,0.0,Gyro fail
1.28,1.024,0.0001,0.01,+,0.0,0.0,9.80665,0.65,0.65,0.0,1.0,20.0,1.0,1.0,0.0,0.0,Arming
0.16,0.512,0.1024,0.16,+,0.0,0.0,9.80665,0.21523,0.2,0.2,0.0,1.0,20.0,10.0,10.0,10.0,Arming
0.16,0.512,0.0128,0.16,+,0.0,0.0,9.80665,0.4,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,Arming
0.01,0.512,0.1024,0.16,+,0.0,0.0,9.80665,0.4,0.2,0.0,1.0,10.0,1.0,10.0,10.0,10.0,Arming hangs
1.28,0.512,0.1024,0.64,x,0.0,0.0,9.80665,0.0,0.0,0.42741,1.0,1.0,10.0,1.0,1.0,10.0,Arming
1.28,0.512,0.0016,0.64,+,0.0,0.0,9.80665,0.4,0.0,0.0,10.0,1.0,1.0,10.0,1.0,1.0,Gyro fail
0.16,0.512,0.0001,0.16,+,0.0,0.0,9.80665,0.21523,0.65,0.2,20.0,0.0,1.0,0.0,10.0,10.0,Arming
0.01,0.512,0.0001,0.01,+,0.0,0.0,9.80665,0.4,0.65,0.2,0.0,1.0,10.0,1.0,10.0,0.0,Arming
