Sensor Noise Accelerometer,Sensor Noise Gyroscope,Sensor Noise Magnetometer,Sensor Noise Pressure,Rotor Orientation,Gravity_x,Gravity_y,Gravity_z,Magnetic Field_x,Magnetic Field_y,Magnetic Field_z,Wind_x,Wind_y,Wind_z,Wind Deviation_x,Wind Deviation_y,Wind Deviation_z,Error Type
0.099,0.025,0.001,0.591,x,0.0,0.0,9.80665,0.01,0.621,0.22,17.4,3.0,4.6,0.2,4.3,4.5,Landing
0.043,0.073,0.003,0.271,+,0.0,0.0,9.80665,0.267,0.038,0.49,16.4,10.2,19.4,4.8,1.1,5.2,PX4 connecting hangs
0.07,0.018,0.009,0.791,+,0.0,0.0,9.80665,0.49,0.042,0.596,14.2,18.1,7.6,6.0,6.2,0.2,Landing
0.07,0.006,0.004,0.351,x,0.0,0.0,9.80665,0.618,0.204,0.543,0.2,16.5,15.5,7.6,2.3,7.6,Landing
0.086,0.072,0.004,0.311,x,0.0,0.0,9.80665,0.178,0.332,0.311,1.6,2.1,7.7,4.3,7.4,6.8,Landing
0.051,0.085,0.002,0.625,x,0.0,0.0,9.80665,0.461,0.588,0.112,0.2,4.7,6.6,8.9,8.2,8.6,Landing
0.038,0.039,0.003,0.374,+,0.0,0.0,9.80665,0.325,0.479,0.455,15.0,7.5,2.9,7.1,6.2,6.2,Landing
0.048,0.089,0.009,0.791,+,0.0,0.0,9.80665,0.576,0.472,0.306,8.1,5.6,5.8,7.8,3.2,3.4,Landing
0.011,0.064,0.007,0.842,+,0.0,0.0,9.80665,0.21523,0.0,0.42741,18.1,7.9,18.0,3.2,0.7,2.4,Landing
0.031,0.049,0.007,0.606,x,0.0,0.0,9.80665,0.52,0.423,0.021,16.0,6.0,8.4,9.7,8.9,7.9,Landing
0.029,0.003,0.003,0.591,+,0.0,0.0,9.80665,0.168,0.14,0.194,5.7,3.9,18.4,4.3,2.2,3.8,Landing
0.058,0.057,0.006,0.551,+,0.0,0.0,9.80665,0.574,0.629,0.361,3.0,13.3,6.2,1.3,4.7,0.2,Landing
0.058,0.072,0.003,0.196,+,0.0,0.0,9.80665,0.097,0.599,0.097,19.8,12.3,15.8,1.1,6.2,5.4,Landing
0.031,0.04,0.002,0.768,x,0.0,0.0,9.80665,0.357,0.035,0.622,14.8,9.1,11.8,2.9,3.0,7.0,Landing
0.044,0.088,0.003,0.5,x,0.0,0.0,9.80665,0.602,0.192,0.559,16.1,6.7,12.0,2.1,4.4,0.0,Landing
0.063,0.01,0.004,0.837,x,0.0,0.0,9.80665,0.633,0.23,0.603,15.6,3.5,1.3,0.7,8.8,8.2,Landing
0.088,0.049,0.005,0.247,+,0.0,0.0,9.80665,0.136,0.309,0.536,18.4,15.0,12.4,8.5,6.8,8.5,Landing
0.012,0.314,0.073,0.516,+,0.0,0.0,9.80665,0.17,0.615,0.142,7.1,10.2,12.2,7.0,7.0,4.2,Arming
0.363,0.675,0.033,0.176,x,0.0,0.0,9.80665,0.571,0.323,0.354,16.3,5.4,12.3,1.1,8.9,4.4,Landing
0.198,0.507,0.087,0.887,+,0.0,0.0,9.80665,0.118,0.295,0.305,18.1,12.4,18.0,2.2,0.0,5.1,Arming hangs
