Sensor Noise Accelerometer,Sensor Noise Gyroscope,Sensor Noise Magnetometer,Sensor Noise Pressure,Rotor Orientation,Gravity_x,Gravity_y,Gravity_z,Magnetic Field_x,Magnetic Field_y,Magnetic Field_z,Wind_x,Wind_y,Wind_z,Wind Deviation_x,Wind Deviation_y,Wind Deviation_z,Number of Iterations,Battery Consumption,Number of Ground Contacts,Number of Engine Failures,Number of Mission Failures
0.16,0.001,0.0512,0.16,+,0.0,0.0,9.80665,0.65,0.65,0.0,0.0,10.0,10.0,10.0,10.0,0.0,879,0.18375830000000015,1,0,0
0.01,0.001,0.0512,0.01,+,0.0,0.0,9.80665,0.0,0.2,0.0,20.0,1.0,0.0,0.0,1.0,10.0,846,0.38943150000000004,56,0,0
0.16,0.016,0.0512,1.28,+,0.0,0.0,9.80665,0.21523,0.65,0.2,20.0,10.0,0.0,10.0,1.0,0.0,864,0.3916059000000002,57,0,0
0.01,0.016,0.0128,0.01,x,0.0,0.0,9.80665,0.21523,0.65,0.42741,20.0,10.0,0.0,0.0,0.0,1.0,869,0.4020560000000001,59,0,0
0.01,0.128,0.1024,0.16,+,0.0,0.0,9.80665,0.0,0.0,0.42741,10.0,10.0,20.0,10.0,10.0,10.0,805,0.3715535700000001,55,0,0
0.64,0.016,0.0512,0.64,+,0.0,0.0,9.80665,0.65,0.0,0.42741,1.0,0.0,10.0,1.0,0.0,1.0,879,0.1793384,1,0,0
0.16,0.001,0.0001,0.64,x,0.0,0.0,9.80665,0.0,0.2,0.42741,1.0,10.0,20.0,1.0,1.0,1.0,831,0.18754000000000004,1,0,0
0.16,0.128,0.0001,0.16,x,0.0,0.0,9.80665,0.4,0.2,0.42741,10.0,0.0,20.0,1.0,10.0,1.0,851,0.1776968000000001,1,0,0
0.16,0.001,0.0016,0.16,x,0.0,0.0,9.80665,0.0,0.0,0.0,1.0,1.0,10.0,0.0,1.0,0.0,868,0.18149330000000008,1,0,0
0.16,0.016,0.0512,0.01,x,0.0,0.0,9.80665,0.21523,0.0,0.65,10.0,10.0,20.0,10.0,0.0,10.0,872,0.18213880000000016,1,0,0
0.16,0.128,0.0512,1.28,x,0.0,0.0,9.80665,0.4,0.2,0.42741,20.0,0.0,10.0,10.0,0.0,0.0,185,0.06579400000000013,1,0,0
0.16,0.001,0.0512,1.28,x,0.0,0.0,9.80665,0.21523,0.0,0.0,1.0,1.0,0.0,0.0,10.0,0.0,876,0.18729510000000005,1,0,0
