Sensor Noise Accelerometer,Sensor Noise Gyroscope,Sensor Noise Magnetometer,Sensor Noise Pressure,Rotor Orientation,Gravity_x,Gravity_y,Gravity_z,Magnetic Field_x,Magnetic Field_y,Magnetic Field_z,Wind_x,Wind_y,Wind_z,Wind Deviation_x,Wind Deviation_y,Wind Deviation_z,Number of Iterations,Battery Consumption,Number of Ground Contacts,Number of Engine Failures,Number of Mission Failures
0.074,0.012,0.002,0.152,+,0.0,0.0,9.80665,0.319,0.463,0.644,1.2,1.2,8.1,2.7,0.4,6.5,883,0.18380854000000013,1,0,0
0.044,0.05,0.001,0.726,+,0.0,0.0,9.80665,0.18,0.421,0.198,16.7,11.5,14.0,2.8,1.7,2.7,155,0.25168195000000015,56,0,0
0.094,0.026,0.0,0.311,+,0.0,0.0,9.80665,0.313,0.361,0.356,19.1,16.2,13.1,7.6,1.3,7.7,875,0.40648106000000017,62,0,0
0.078,0.09,0.009,0.575,+,0.0,0.0,9.80665,0.016,0.638,0.083,1.2,6.0,15.5,3.9,7.1,6.0,855,0.18100473000000017,1,0,0
0.084,0.072,0.008,0.34,+,0.0,0.0,9.80665,0.187,0.069,0.529,17.8,11.7,15.6,6.5,6.0,3.8,795,0.18380854000000013,2,0,0
0.099,0.065,0.008,0.181,x,0.0,0.0,9.80665,0.063,0.223,0.201,14.9,15.3,16.7,8.3,5.8,8.3,837,0.40403613000000016,59,0,0
0.057,0.088,0.008,0.425,+,0.0,0.0,9.80665,0.613,0.156,0.366,9.1,14.1,11.7,1.7,1.2,9.0,748,0.15879280000000018,1,0,0
0.094,0.028,0.006,0.344,x,0.0,0.0,9.80665,0.399,0.194,0.625,5.0,14.4,10.2,2.0,9.8,6.5,892,0.18523255000000016,1,0,0
0.063,0.017,0.003,0.583,x,0.0,0.0,9.80665,0.316,0.377,0.282,7.0,19.5,13.7,1.2,2.5,4.8,884,0.3800209000000001,53,0,0
0.064,0.076,0.009,0.573,x,0.0,0.0,9.80665,0.586,0.172,0.62,11.4,14.2,0.3,8.1,3.9,9.9,888,0.18670425000000013,1,0,0
0.087,0.026,0.01,0.23,+,0.0,0.0,9.80665,0.597,0.221,0.035,12.5,8.6,9.9,0.4,9.2,1.1,840,0.17898080000000016,1,0,0
0.088,0.024,0.008,0.409,+,0.0,0.0,9.80665,0.628,0.578,0.28,16.6,2.0,0.9,7.8,0.5,4.3,886,0.18902260000000015,1,0,0
0.047,0.088,0.005,0.531,+,0.0,0.0,9.80665,0.628,0.422,0.496,9.0,9.9,6.1,1.4,8.0,4.7,861,0.1843530000000001,1,0,0
0.011,0.022,0.001,0.872,x,0.0,0.0,9.80665,0.312,0.303,0.562,16.8,17.9,10.5,9.5,3.8,4.7,819,0.40741000000000005,62,0,0
0.087,0.018,0.008,0.036,x,0.0,0.0,9.80665,0.058,0.271,0.475,9.7,19.0,1.2,3.9,2.9,6.4,806,0.38760135000000007,56,0,0
0.036,0.055,0.008,0.789,x,0.0,0.0,9.80665,0.516,0.345,0.418,3.0,8.2,18.9,8.0,6.9,2.1,839,0.18983623000000016,1,0,0
0.084,0.007,0.001,0.302,x,0.0,0.0,9.80665,0.426,0.273,0.63,5.5,0.8,19.0,8.9,3.3,5.8,806,0.18347564000000016,1,0,0
